国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
科摩罗,2017,1457,28.784,1385.56964,3.91,31.89888687,
喀麦隆,2017,189239,55.777,1480.287885,814.002,14.37221482,
津巴布韦,2017,30591,32.237,1263.321322,349.42,9.663427853,
加蓬,2017,47548,88.976,9203.993561,1498.038,5.265764844,
加纳,2017,108511,55.407,1738.251931,3255,19.69615516,
几内亚(比绍),2017,669,42.945,614.4394299,15.652,49.15780779,
几内亚,2017,61500,35.793,869.0337862,577.4,20.52847253,
吉布提,2017,36605,77.648,,165.001,1.44987379,
刚果(金),2017,149954,43.88,408.9247934,1340.204,19.7026975,
刚果(布),2017,74754,66.459,2693.4285,4406.044,6.398304298,
冈比亚,2017,1010,60.599,760.1247057,17.73,21.00189469,
佛得角,2017,1694,65.261,3619.621022,111.116,6.738689905,
厄立特里亚,2017,12239,,,55.468,,
多哥,2017,25729,41.162,661.1481259,88.341,23.61714306,
赤道几内亚,2017,102500,71.646,11225.37253,304.074,2.315463397,
布隆迪,2017,2704,12.706,214.1392462,0.316,28.54664701,
布基纳法索,2017,27,28.743,685.8839367,2.566,28.3349849,
博茨瓦纳,2017,25281,68.7,7859.436483,177.114,1.98985636,
贝宁,2017,8110,46.768,1166.760575,200.406,28.48901653,
安哥拉,2017,669326,64.839,3409.929285,-7397.295,10.01699586,
埃塞俄比亚,2017,552174,20.31,548.1174956,4017.1,33.78355394,
埃及,2017,154179,42.705,2817.320226,7408.7,11.4852853,
阿尔及利亚,2017,784898,72.052,4793.866702,1232.319,11.94618805,
中非,2016,1073,40.618,359.2495719,7.251,31.91899149,
乍得,2016,96547,22.677,868.2116954,244.516,46.12580311,
赞比亚,2016,179045,42.438,1652.284458,662.9,6.228470416,
乌干达,2016,188990,22.624,694.009088,625.7,23.65434519,
突尼斯,2016,13586,68.346,4314.953355,884.997,9.391694815,
坦桑尼亚,2016,152409,32.333,904.3818923,864,27.44414257,
索马里,2016,3003,43.816,,334,,
苏丹,2016,146050,34.121,1911.025651,1063.768,31.19998686,
斯威士兰,2016,34,23.459,4662.820673,21.115,8.902101684,
圣多美和普林西比,2016,244,71.092,1263.374506,22.15,11.67442616,
塞舌尔,2016,2500,55.831,13598.33635,155.236,2.009641688,
塞内加尔,2016,60022,46.296,1430.362395,472.089,14.4149813,
塞拉利昂,2016,12683,41.228,457.8330917,137.966,58.20874133,
