国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
刚果(布),2011,94131,63.712,2825.727121,186.305,3.383113301,
冈比亚,2011,292,56.384,767.1553536,36.1,27.20242061,
佛得角,2011,1531,62.322,3468.667055,154.691,7.84317609,
厄立特里亚,2011,9700,35.771,715.8725423,39,,
多哥,2011,8408,38.032,553.2014555,711.087,29.87507362,
赤道几内亚,2011,180158,67.488,17610.30663,1975,1.053502388,
布隆迪,2011,2456,10.915,235.9887667,3.355,36.704576,
布基纳法索,2011,135,25.196,595.3929889,143.657,30.79102476,
博茨瓦纳,2011,156632,63.865,6728.201954,293.208,2.510917511,
贝宁,2011,4076,43.608,1037.74704,161.091,25.79700083,
安哥拉,2011,634417,60.528,3579.960081,-3023.771,5.845680969,
埃塞俄比亚,2011,180874,17.735,369.2024078,626.51,41.24996386,
埃及,2011,102372,43,2635.191564,-483,13.8691051,
阿尔及利亚,2011,405255,68.236,4524.644811,2580.35,8.110386806,
中非,2010,3663,38.904,487.9453833,61.52,37.3635796,
乍得,2010,147476,21.985,891.6988174,313,51.94562302,
赞比亚,2010,40412,39.355,1489.45907,1729.3,9.420989776,
乌干达,2010,15152,19.383,622.4988457,543.873,26.23553733,
突尼斯,2010,14802,66.657,4141.976353,1512.505,7.53459309,
坦桑尼亚,2010,81153,28.114,743.4037847,1813.25,25.58240689,
索马里,2010,,39.31,,112,,
苏丹,2010,233696,33.089,1489.876911,2063.731,23.31053838,
斯威士兰,2010,0,22.48,4168.505183,119.639,10.15621244,
圣多美和普林西比,2010,25,64.952,1094.710636,50.6,11.62398706,
塞舌尔,2010,3064,53.336,10804.68447,210.816,2.260877403,
塞内加尔,2010,20492,43.773,1278.977754,266.108,15.83761647,
塞拉利昂,2010,3688,38.856,401.8350014,238.437,52.94268026,
尼日利亚,2010,292981,43.48,2292.445156,6098.96,23.89370409,
尼日尔,2010,89407,16.221,347.3430407,940.316,40.89784251,
南非,2010,36690,62.218,7328.615629,3635.596,2.387372914,
纳米比亚,2010,10567,41.616,5324.61704,283.8,8.577791536,
莫桑比克,2010,38760,31.83,471.1816926,2531.662,26.88693128,
摩洛哥,2010,59041,58.018,2839.925168,1573.856,12.94352454,
毛里塔尼亚,2010,18586,46.588,1241.428756,130.528,20.29326604,
毛里求斯,2010,13618,41.555,8000.376432,429.958,3.641742191,
马里,2010,38860,35.999,709.5819646,405.902,33.01683003,
马拉维,2010,11555,15.544,478.6685897,46.089,29.61487225,
马达加斯加,2010,11883,31.938,471.9592116,764.686,29.07809635,
卢旺达,2010,14173,16.934,582.6941191,250.505,27.82120616,
利比亚,2010,344930,78.052,12064.78069,1909,0,
利比里亚,2010,10038,47.813,513.4456986,449.959,44.80003003,
莱索托,2010,1905,24.798,1199.951766,51.32,5.094705614,
肯尼亚,2010,88512,23.571,951.6879611,1197.553,24.82621749,
科特迪瓦,2010,4673,47.33,1211.930338,338.942,24.52942756,
科摩罗,2010,1977,27.973,1315.214806,8.342,30.4160595,
喀麦隆,2010,13308,51.559,1285.261726,-0.551,14.067657,
津巴布韦,2010,13805,33.196,948.3318545,165.9,9.609863269,
加蓬,2010,28583,85.533,8840.730664,521.666,3.914454417,
加纳,2010,77077,50.713,1298.436952,2527.36,28.03873796,
几内亚(比绍),2010,3284,40.111,557.6321326,33.224,45.0880468,
几内亚,2010,12759,33.678,672.4244026,101.35,17.48494873,
吉布提,2010,2060,76.999,1343.26873,36.501,,
刚果(金),2010,62767,40.013,334.0215726,2939.27,21.42849112,
刚果(布),2010,107768,63.256,2809.694957,928.436,3.830407012,
冈比亚,2010,150,55.662,860.6378737,37.115,35.19324349,
佛得角,2010,1061,61.821,3378.25486,158.824,7.989777332,
厄立特里亚,2010,2659,35.175,667.7441778,91,,
多哥,2010,5296,37.533,534.0443668,85.827,28.73929888,
赤道几内亚,2010,174836,65.94,17288.8596,2734,1.061371286,
布隆迪,2010,1435,10.642,234.2356469,0.781,38.43054529,
布基纳法索,2010,389,24.633,575.4464527,34.619,32.54025624,
博茨瓦纳,2010,158497,62.412,6434.815657,218.38,2.488037773,
贝宁,2010,2524,43.093,1036.533952,176.804,25.8411355,
安哥拉,2010,496407,59.783,3587.883798,-3227.211,6.180293181,
埃塞俄比亚,2010,154966,17.319,341.5541149,288.272,41.44682007,
埃及,2010,116881,43.019,2644.817039,6385.6,13.34075916,
阿尔及利亚,2010,494736,67.54,4480.724539,2301.23,8.466901279,
中非,2009,3462,38.694,471.6330754,42.28,38.33386816,
乍得,2009,44511,21.934,811.9192455,374.9,46.54939263,
赞比亚,2009,35361,38.861,1390.331446,694.8,11.55278363,
乌干达,2009,18902,18.878,608.358158,841.571,26.14617558,
突尼斯,2009,5318,66.376,4043.146435,1687.811,8.297260265,
坦桑尼亚,2009,54320,27.439,719.7230784,952.61,26.03519036,
索马里,2009,19,37.645,,108,,
苏丹,2009,207843,32.993,1477.736636,1726.298,24.67041159,
斯威士兰,2009,0,22.262,4044.133029,65.698,9.250385404,
圣多美和普林西比,2009,43,63.823,1052.468467,15.5,11.21047578,
塞舌尔,2009,4384,52.969,10486.18989,171.401,2.256942686,
塞内加尔,2009,14703,43.359,1269.3259,320.033,15.9421075,
塞拉利昂,2009,2664,38.466,390.1310354,110.846,55.26088268,
尼日利亚,2009,200352,42.588,2179.989416,8649.53,26.74885451,
尼日尔,2009,32948,16.225,333.0946392,790.763,39.38968974,
南非,2009,11818,61.687,7216.679693,7502.062,2.713427607,
纳米比亚,2009,14934,40.601,5112.644566,841.183,8.253227706,
莫桑比克,2009,32187,31.328,454.7816762,898.285,27.50960858,
摩洛哥,2009,51100,57.452,2771.046755,1951.707,13.02861922,
毛里塔尼亚,2009,19075,45.686,1220.05796,-3.072,24.11179392,
毛里求斯,2009,7803,41.666,7683.124925,247.843,3.880639987,
马里,2009,26743,35.2,694.7431505,748.347,31.76663847,
马拉维,2009,4847,15.429,460.9246827,194.533,30.42900297,
马达加斯加,2009,15349,31.301,482.3383941,1269.409,30.46514813,
卢旺达,2009,8142,16.93,557.1137823,118.67,28.92147826,
利比亚,2009,191251,77.837,11607.19828,3310,0,
利比里亚,2009,4724,47.445,501.6157348,217.803,58.03574661,
莱索托,2009,4014,24.293,1130.547707,91.27,6.039734637,
肯尼亚,2009,57076,23.183,902.1245459,1491.277,23.36040099,
科特迪瓦,2009,2083,46.91,1216.021571,377.129,21.20021808,
科摩罗,2009,1008,27.921,1298.007347,13.784,30.0330064,
喀麦隆,2009,12211,50.954,1277.35008,668.329,13.65706094,
津巴布韦,2009,6509,33.378,803.2220286,105,10.74255023,
加蓬,2009,19712,84.955,8545.946053,663.999,5.044169793,
加纳,2009,46048,50.031,1233.677561,2897.1,30.99338421,
几内亚(比绍),2009,5607,39.716,546.9470923,17.453,43.99991803,
几内亚,2009,7399,33.391,656.2050439,140.85,16.36061888,
吉布提,2009,6923,76.944,,74.723,,
刚果(金),2009,62974,39.491,322.4182544,663.803,23.6746667,
刚果(布),2009,85864,62.8,2663.576618,1272.939,4.505890479,
冈比亚,2009,121,54.937,837.3348983,39.442,31.73422579,
佛得角,2009,1739,61.016,3370.350236,174.307,8.319046096,
厄立特里亚,2009,3284,34.585,663.9865734,91,14.12422744,
多哥,2009,3886,37.058,517.1011987,48.532,30.9296085,
赤道几内亚,2009,133518,64.358,19868.07076,1636.22,1.058199791,
布隆迪,2009,563,10.376,230.1925985,0.348,36.72136414,
布基纳法索,2009,23,24.079,562.8419726,100.897,32.3929117,
博茨瓦纳,2009,60471,60.937,6029.198631,208.699,2.819081868,
贝宁,2009,2830,42.58,1043.961894,134.286,26.97895538,
安哥拉,2009,486189,59.034,3549.577857,2205.298,6.62119707,
埃塞俄比亚,2009,119583,16.91,312.0338494,221.46,45.88269426,
埃及,2009,79735,43.039,2565.769165,6711.6,12.99794665,
阿尔及利亚,2009,587726,66.826,4403.799997,2753.76,9.342616093,
中非,2008,2404,38.506,440.8666944,117.11,,
乍得,2008,13075,21.901,805.2923385,466.131,54.5898348,
赞比亚,2008,21792,38.371,1309.281649,938.62,11.45399975,
乌干达,2008,15373,18.384,587.9471315,728.861,21.38459856,
突尼斯,2008,5353,66.093,3965.64829,2758.615,7.850502463,
坦桑尼亚,2008,41688,26.776,703.5884945,1383.25,24.76549388,
索马里,2008,10,36.011,,87,,
苏丹,2008,262174,32.919,1469.971772,1653.12,24.50800419,
斯威士兰,2008,0,22.045,4010.342129,105.723,9.999454145,
圣多美和普林西比,2008,116,62.68,1056.096238,79.1,9.863123862,
塞舌尔,2008,3968,52.619,10645.0867,182.105,2.568828031,
塞内加尔,2008,14004,42.947,1277.5266,397.633,14.54474515,
塞拉利昂,2008,2804,38.077,386.653814,57.624,53.65350832,
尼日利亚,2008,161353,41.702,2072.273486,8248.64,25.27975078,
尼日尔,2008,2217,16.229,348.513183,340.427,43.39877595,
南非,2008,24731,61.154,7432.116761,9209.172,2.859484952,
纳米比亚,2008,7484,39.597,5191.480934,720.267,7.630066906,
莫桑比克,2008,10012,30.832,439.6424864,591.599,26.37665398,
摩洛哥,2008,28043,56.886,2691.267812,2487.094,11.95912179,
毛里塔尼亚,2008,5619,44.788,1269.251126,342.771,23.43875136,
毛里求斯,2008,7546,41.777,7456.369246,382.915,4.074876695,
马里,2008,16325,34.403,685.6893854,180.282,33.13234718,
马拉维,2008,895,15.326,437.8954761,123.926,29.97580655,
马达加斯加,2008,21402,30.67,516.709609,1392.701,27.05257205,
卢旺达,2008,4551,16.925,538.5676589,102.29,27.94303035,
利比亚,2008,74118,77.632,11844.92524,3180,1.84947245,
利比里亚,2008,3546,47.088,495.6790151,283.801,65.17456547,
莱索托,2008,3275,23.796,1108.377775,61.764,5.538015811,
肯尼亚,2008,38693,22.8,897.6019306,488.04,22.19634016,
科特迪瓦,2008,1475,46.491,1204.975215,446.147,22.67704581,
科摩罗,2008,476,27.886,1288.421346,4.632,29.13891501,
喀麦隆,2008,6222,50.35,1284.747735,-24.198,13.0957245,
津巴布韦,2008,15888,33.56,725.5759737,51.6,19.02107406,
加蓬,2008,1553,84.359,8818.023912,760.163,4.229842032,
加纳,2008,38806,49.351,1206.990406,1220.42,29.40809676,
几内亚(比绍),2008,3439,39.325,542.6459511,5.143,46.66771695,
几内亚,2008,7150,33.106,679.034406,255.77,15.98000719,
吉布提,2008,1732,76.899,,228.949,,
刚果(金),2008,28029,38.976,324.0403128,1726.843,22.61867976,
刚果(布),2008,62925,62.346,2561.193776,2031.88,3.676959489,
冈比亚,2008,526,54.211,808.7052436,70.102,29.77571152,
佛得角,2008,431,60.194,3455.101767,209.217,7.751864576,
厄立特里亚,2008,3677,34,651.1331109,39,16.77630738,
多哥,2008,2888,36.587,503.4510895,23.883,38.90206949,
赤道几内亚,2008,71239,62.745,20532.95226,-793.872,0.89269612,
布隆迪,2008,1269,10.118,229.1485451,3.833,38.0048233,
布基纳法索,2008,,23.534,563.4471034,105.771,37.00496829,
博茨瓦纳,2008,40518,59.444,6657.832383,520.918,2.526018242,
贝宁,2008,2030,42.069,1049.367869,169.835,26.82615619,
安哥拉,2008,322203,58.282,3652.153498,1678.971,4.805339317,
埃塞俄比亚,2008,98252,16.51,294.8054278,108.538,45.18455837,
埃及,2008,51379,43.058,2497.340222,9494.6,12.63024009,
阿尔及利亚,2008,420227,66.097,4409.738484,2631.71,6.586679947,
中非,2007,1179,38.339,439.7474438,56.75,,
乍得,2007,5117,21.868,807.8438943,-321.655,54.67325498,
赞比亚,2007,22819,37.881,1248.418424,1323.9,12.10559624,
乌干达,2007,18976,17.899,558.1869187,792.306,22.27811368,
突尼斯,2007,3553,65.809,3844.928215,1616.251,8.643354567,
坦桑尼亚,2007,26478,26.121,684.8840491,581.512,23.24548824,
索马里,2007,261,34.404,,141,,
苏丹,2007,220554,32.866,1401.199013,1504.38,25.17637861,
斯威士兰,2007,0,21.829,4005.481528,37.5,10.75417547,
圣多美和普林西比,2007,52,61.52,1004.477619,36,9.764780712,
塞舌尔,2007,2651,52.285,11124.65711,181.628,2.746664742,
塞内加尔,2007,6230,42.535,1261.091466,297.427,11.97996997,
塞拉利昂,2007,1853,37.689,375.6680003,96.578,52.17604718,
尼日利亚,2007,138776,40.819,1993.097411,6086.73,24.66257721,
尼日尔,2007,1306,16.234,330.2686611,129.039,40.96804213,
南非,2007,17387,60.616,7299.020037,6538.062,2.643372701,
纳米比亚,2007,6126,38.598,5150.424494,732.96,8.546890728,
莫桑比克,2007,10100,30.364,421.1796584,398.656,23.82863664,
摩洛哥,2007,30896,56.317,2571.26444,2804.501,10.86312603,
毛里塔尼亚,2007,10198,43.89,1292.437596,139.373,23.61854757,
毛里求斯,2007,6913,41.889,7100.861823,339.053,4.375986928,
马里,2007,20842,33.612,676.6036395,72.794,31.35287468,
马拉维,2007,520,15.235,418.5882186,34.557,27.51127902,
马达加斯加,2007,4875,30.043,498.2329092,740.526,28.06701329,
卢旺达,2007,3763,16.921,497.5936712,82.283,29.97538929,
利比亚,2007,26301,77.437,11699.31432,3850,2.180747484,
利比里亚,2007,1610,46.742,482.1249527,131.6,65.59815004,
莱索托,2007,1700,23.304,1038.50299,84.75,5.284879346,
肯尼亚,2007,26540,22.42,920.6492166,1107.519,20.58666446,
科特迪瓦,2007,2355,46.071,1201.716658,426.777,21.99480637,
科摩罗,2007,1824,27.867,1269.005529,7.682,28.95664626,
喀麦隆,2007,9821,49.746,1276.059915,191.017,13.17893793,
津巴布韦,2007,8664,33.743,890.1804546,68.9,21.19768854,
加蓬,2007,9162,83.742,9404.4083,710.719,4.957830803,
加纳,2007,18938,48.669,1134.697635,855.4,27.29411448,
几内亚(比绍),2007,2518,38.934,538.9854818,18.58,43.17569289,
几内亚,2007,8075,32.822,667.1989563,385.9,16.81970923,
吉布提,2007,1254,76.853,,195.351,,
刚果(金),2007,19172,38.47,315.2638635,1808.033,21.6022053,
刚果(布),2007,22328,61.893,2510.735183,1467.629,4.327298473,
冈比亚,2007,1881,53.481,784.0369193,76.461,23.56619704,
佛得角,2007,262,59.363,3279.078357,190.391,8.517737666,
厄立特里亚,2007,2596,33.017,737.6964689,7.207,24.26598059,
多哥,2007,2679,36.116,497.1229582,49.163,29.13972393,
赤道几内亚,2007,30657,61.1,18261.03607,1242.731,1.372884044,
布隆迪,2007,1105,9.864,225.8590853,0.5,34.93417192,
布基纳法索,2007,14,22.996,541.268695,343.535,29.93549337,
博茨瓦纳,2007,26287,57.928,6400.717568,494.682,2.240732656,
贝宁,2007,1700,41.558,1029.032263,255.244,26.97108697,
安哥拉,2007,115808,57.524,3409.503462,-893.342,5.242278337,
埃塞俄比亚,2007,59712,16.116,273.4921198,222.001,42.26501219,
埃及,2007,39189,43.078,2372.38301,11578.1,13.42012621,
阿尔及利亚,2007,234031,65.348,4377.425591,1743.33,7.570832888,
中非,2006,1753,38.193,428.5388556,34.67,,
乍得,2006,2180,21.834,809.2498849,-278.414,55.77192044,
赞比亚,2006,14851,37.395,1183.363859,615.79,13.20627106,
乌干达,2006,7653,17.425,531.3598917,644.262,24.03493298,
突尼斯,2006,3882,65.524,3639.730695,3307.989,9.280405265,
坦桑尼亚,2006,26142,25.478,659.8043503,403.039,23.66931073,
索马里,2006,12,37.1,,96,,
苏丹,2006,173817,32.813,1291.569295,1841.834,28.11853395,
斯威士兰,2006,0,21.91,3859.652095,121.036,11.18421591,
圣多美和普林西比,2006,29,60.348,1000.617983,38,9.068809263,
塞舌尔,2006,2303,51.969,10126.29048,145.586,2.980658674,
塞内加尔,2006,6250,42.124,1233.92569,220.32,12.93743471,
塞拉利昂,2006,3243,37.303,357.21953,58.768,50.29408713,
尼日利亚,2006,110496,39.943,1919.724203,4897.81,24.73499126,
尼日尔,2006,4118,16.238,332.450482,50.544,42.88051738,
南非,2006,11972,60.077,7017.714904,311.45,2.331412417,
纳米比亚,2006,5720,37.61,4975.023121,386.576,9.845354079,
莫桑比克,2006,12703,30.182,401.9544486,112.601,23.97409617,
摩洛哥,2006,22549,55.746,2512.862411,2449.446,13.60248084,
毛里塔尼亚,2006,5120,42.998,1293.618134,154.602,21.41657683,
毛里求斯,2006,5618,42,6746.886623,105.304,4.906447705,
马里,2006,20025,32.832,675.9505663,83.392,29.79050883,
马拉维,2006,502,15.144,392.7599989,121.623,30.86732465,
马达加斯加,2006,2296,29.425,482.7091164,294.513,25.12616814,
卢旺达,2006,2173,16.917,474.0840159,30.644,33.61033876,
利比亚,2006,22535,77.253,11164.80874,2064,2.220698634,
利比里亚,2006,809,46.396,457.6992121,107.851,63.81802502,
莱索托,2006,1285,22.82,989.1244609,28.056,4.842764809,
肯尼亚,2006,8237,22.045,885.8096325,50.675,20.5196878,
科特迪瓦,2006,1152,45.652,1207.086799,318.864,22.62521288,
科摩罗,2006,1693,27.863,1289.471094,0.826,29.37634063,
喀麦隆,2006,3527,49.143,1250.244179,16.384,13.24024055,
津巴布韦,2006,7530,33.926,931.56854,40,19.23011578,
加蓬,2006,6140,83.107,9134.559689,267.805,4.911200315,
加纳,2006,12590,47.988,1115.849718,636.01,28.94894567,
几内亚(比绍),2006,2291,38.545,534.8222723,17.327,42.26040256,
几内亚,2006,8193,32.539,638.6985704,125,15.58456342,
吉布提,2006,796,76.807,,108.288,,
刚果(金),2006,16293,37.971,306.5282607,256.119,21.21006065,
刚果(布),2006,18543,61.441,2640.318294,553.583,3.960322565,
冈比亚,2006,1075,52.751,784.0232253,82.208,25.60022584,
佛得角,2006,775,58.529,2882.889946,130.649,8.318712135,
厄立特里亚,2006,2131,32.051,746.8417515,15.376,24.5999999,
多哥,2006,568,35.649,516.7803506,77.336,33.64337311,
赤道几内亚,2006,13784,59.431,16591.25221,469.506,1.518255278,
布隆迪,2006,1037,9.617,225.6222104,0.032,40.63768227,
布基纳法索,2006,6,22.339,527.9623877,33.594,33.9587366,
博茨瓦纳,2006,21902,56.4,6038.79181,486.39,2.048364708,
贝宁,2006,602,41.049,999.0200266,53.2,26.63180343,
安哥拉,2006,99478,56.764,3102.650928,-37.715,5.191280189,
埃塞俄比亚,2006,31666,15.899,252.2122882,545.257,42.52417012,
埃及,2006,33752,43.073,2254.510459,10042.8,13.23720253,
阿尔及利亚,2006,168609,64.593,4299.676713,1888.17,7.543019796,
中非,2005,2362,38.069,417.0950002,10.1,,
乍得,2005,1796,21.801,832.7450383,-99.343,53.81412435,
赞比亚,2005,3273,36.911,1126.031936,356.94,14.58855137,
乌干达,2005,5545,16.96,494.9980105,379.808,25.07493613,
突尼斯,2005,6089,65.237,3490.683977,783.087,9.169831148,
坦桑尼亚,2005,21012,24.845,637.0056222,935.521,24.64884108,
索马里,2005,,36.311,,24,,
苏丹,2005,132998,32.76,1206.513668,1617.098,30.59881765,
斯威士兰,2005,0,22.038,3660.929967,-45.854,10.97175652,
圣多美和普林西比,2005,19,59.165,941.5359709,15.7,9.007667806,
塞舌尔,2005,2089,51.67,9450.279434,85.88,3.254551734,
塞内加尔,2005,3307,41.714,1236.006394,44.588,14.61155667,
塞拉利昂,2005,1624,36.919,353.8894185,83.182,49.39145138,
尼日利亚,2005,77435,39.074,1857.925564,4978.26,26.08928283,
尼日尔,2005,1901,16.242,326.2068941,30.294,24.72846723,
南非,2005,7960,59.536,6729.827466,6646.927,2.389623573,
纳米比亚,2005,3244,36.632,4725.474369,385.241,10.58293887,
莫桑比克,2005,9615,29.999,376.8856499,107.853,22.84754705,
摩洛哥,2005,4555,55.174,2363.444676,1653.986,11.81602994,
毛里塔尼亚,2005,3455,42.111,1119.834762,811.869,28.17206637,
毛里求斯,2005,4092,42.112,6463.922791,41.565,4.977944309,
马里,2005,17658,32.06,667.4699804,223.803,32.37848184,
马拉维,2005,360,15.054,385.4608301,99.141,32.91457648,
马达加斯加,2005,2839,28.814,473.2483798,86.02,25.68026195,
卢旺达,2005,949,16.912,437.9826651,7.96,38.38802985,
利比亚,2005,12787,77.08,10642.89657,1038,2.51001098,
利比里亚,2005,85,46.051,438.247567,82.808,66.03272919,
莱索托,2005,1671,22.249,946.0459526,28.98,5.671130405,
肯尼亚,2005,3532,21.675,855.22504,21.212,24.2362747,
科特迪瓦,2005,2592,45.234,1215.001772,311.92,22.59324627,
科摩罗,2005,483,27.875,1286.613106,0.559,29.37627389,
喀麦隆,2005,1726,48.541,1241.869141,234.007,14.08356658,
津巴布韦,2005,8932,34.11,971.266723,102.8,17.14823974,
加蓬,2005,4221,82.452,9665.996803,242.335,4.984638611,
加纳,2005,8246,47.308,1075.865772,144.97,37.45301293,
几内亚(比绍),2005,2561,38.157,535.4409575,7.997,44.35828842,
几内亚,2005,7495,32.257,644.9585578,105,22.28106496,
吉布提,2005,880,76.761,,22.203,,
刚果(金),2005,8271,37.481,300.5624225,266.6,21.57938225,
刚果(布),2005,11371,60.988,2569.279771,585.163,4.544180397,
冈比亚,2005,1392,52.02,812.7663386,53.65,32.09063281,
佛得角,2005,166,57.689,2705.134635,81.554,9.001187323,
厄立特里亚,2005,1854,31.099,778.5755356,1.432,22.60000021,
多哥,2005,1227,35.185,517.0067983,76.992,36.55005838,
赤道几内亚,2005,7319,57.74,16122.87358,769.146,,
布隆迪,2005,238,9.375,221.0963747,0.585,40.84812339,
布基纳法索,2005,50,21.537,511.9675905,34.152,35.29344191,
博茨瓦纳,2005,26384,55.944,5686.780532,421.381,1.828380524,
贝宁,2005,194,40.543,989.372279,53.044,26.6894285,
安哥拉,2005,30402,56,2883.978211,-1303.837,5.060402948,
埃塞俄比亚,2005,18218,15.7,233.9441905,265.112,41.17449856,
埃及,2005,27650,43.027,2147.819811,5375.6,13.9818013,
阿尔及利亚,2005,105043,63.83,4290.459984,1145.34,7.691087014,
中非,2004,1946,37.966,421.5357377,15.1,,
乍得,2004,,21.768,736.1132141,466.793,22.89717623,
赞比亚,2004,10574,36.43,1077.836387,364,15.58094288,
乌干达,2004,3582,16.507,480.5022274,295.416,21.67035264,
突尼斯,2004,4039,64.95,3401.517479,639.116,9.902519658,
坦桑尼亚,2004,8654,24.223,609.6367156,330.6,25.69697633,
索马里,2004,0,35.531,,-4.79,,
苏丹,2004,72565,32.707,1154.171798,1511.07,32.21098703,
斯威士兰,2004,0,22.166,3468.194565,69.585,9.659472387,
圣多美和普林西比,2004,36,57.972,900.5288877,3.5,10.16306618,
塞舌尔,2004,953,51.388,8709.782689,37.447,3.457136596,
塞内加尔,2004,1833,41.306,1200.524135,77.028,13.70323468,
塞拉利昂,2004,2402,36.596,351.8221238,61.153,48.48605626,
尼日利亚,2004,48884,38.212,1791.261545,2127.086,27.2304536,
尼日尔,2004,1132,16.247,324.0162157,20.322,20.11638145,
南非,2004,2289,58.993,6472.107034,798.026,2.763467723,
纳米比亚,2004,2644,35.666,4682.768954,225.847,9.117399496,
莫桑比克,2004,3707,29.818,363.7809785,475.514,22.50830928,
摩洛哥,2004,3760,54.644,2315.186662,894.563,13.16090455,
毛里塔尼亚,2004,3508,41.229,1057.359959,404.102,32.62519064,
毛里求斯,2004,2385,42.223,6388.746469,11.164,5.276181078,
马里,2004,9576,31.3,647.1154938,101.002,30.01550987,
马拉维,2004,529,14.964,383.0941888,58.949,34.71394761,
马达加斯加,2004,1410,28.211,465.9872568,95.192,26.18135242,
卢旺达,2004,1024,16.908,407.7971283,7.7,38.56071904,
利比亚,2004,6667,76.919,9660.948174,357,3.342622913,
利比里亚,2004,890,45.706,427.2111831,75.358,65.04740245,
莱索托,2004,1279,21.689,909.8744302,56.68,5.984006756,
肯尼亚,2004,5271,21.31,829.952875,46.064,24.92904109,
科特迪瓦,2004,1378,44.817,1219.96707,282.98,23.58975972,
科摩罗,2004,181,27.903,1281.276164,0.671,29.37601992,
喀麦隆,2004,1223,47.94,1250.708844,86.122,15.54837008,
津巴布韦,2004,4792,34.294,1034.962988,8.7,18.06379683,
加蓬,2004,2960,81.778,9669.638475,193.729,5.467291043,
加纳,2004,5889,46.63,1041.826227,139.27,37.95242609,
几内亚(比绍),2004,3187,37.772,525.8243731,9.181,41.99168143,
几内亚,2004,7008,31.977,639.0871849,97.9,23.31419591,
吉布提,2004,573,76.716,,38.544,,
刚果(金),2004,2019,37,292.3508371,409.033,23.87935949,
刚果(布),2004,4160,60.533,2460.635305,-8.488,5.509406303,
冈比亚,2004,1154,51.288,858.6002969,55.526,31.50261835,
佛得角,2004,385,56.846,2565.7805,68.033,9.863467719,
厄立特里亚,2004,1617,30.164,788.8556299,24.104,10.6422743,
多哥,2004,450,34.724,556.5826758,59.358,31.11188892,
赤道几内亚,2004,2702,56.033,14437.56814,340.914,,
布隆迪,2004,105,9.139,226.2884716,0.045,41.90260497,
布基纳法索,2004,18,20.757,485.3074043,14.348,31.61584315,
博茨瓦纳,2004,22933,55.488,5542.305427,390.968,2.25958535,
贝宁,2004,567,40.039,1001.8544,63.844,26.52084928,
安哥拉,2004,7935,54.827,2597.456995,2197.228,6.250876536,
埃塞俄比亚,2004,20476,15.504,215.1545622,545.1,38.67975495,
埃及,2004,7381,42.981,2093.34633,2157.4,14.26993612,
阿尔及利亚,2004,80528,63.061,4108.129799,881.85,9.440405913,
中非,2003,1535,37.884,405.7579852,11.3,,
乍得,2003,,21.735,572.0673882,712.663,32.28602338,
赞比亚,2003,2395,35.951,1033.310802,346.62,15.61709962,
乌干达,2003,2032,16.061,464.4362831,202.193,24.50702258,
突尼斯,2003,2429,64.585,3226.646271,583.642,9.291471251,
坦桑尼亚,2003,5865,23.611,583.3144338,308.2,24.9107254,
索马里,2003,12,34.756,,-0.85,,
苏丹,2003,47691,32.654,1142.51007,1349.19,36.61714529,
斯威士兰,2003,0,22.296,3358.306237,-63.888,12.38526317,
圣多美和普林西比,2003,24,56.766,886.4469166,3.4,10.62717515,
塞舌尔,2003,919,51.123,8932.195054,58.426,2.636895547,
塞内加尔,2003,2821,40.898,1162.84757,52.495,15.11242183,
塞拉利昂,2003,2348,36.352,344.8264173,8.615,46.35657463,
尼日利亚,2003,26428,37.356,1682.099989,2171.39,33.82706055,
尼日尔,2003,92,16.251,335.9239598,11.471,39.64724409,
南非,2003,1631,58.446,6266.01574,733.666,3.052348605,
纳米比亚,2003,2046,34.709,4234.549936,148.749,10.4583661,
莫桑比克,2003,2456,29.637,347.1566951,336.698,22.88477807,
摩洛哥,2003,3423,54.317,2235.418678,2314.468,13.92310593,
毛里塔尼亚,2003,3985,40.351,1028.623428,101.958,34.43928959,
毛里求斯,2003,1851,42.335,6162.115607,62.076,5.177446514,
马里,2003,8462,30.547,657.7209174,132.261,29.87662985,
马拉维,2003,1472,14.875,372.5312494,13.262,36.2226653,
马达加斯加,2003,4052,27.936,456.1356409,95.451,26.77054949,
卢旺达,2003,719,16.904,385.0023444,4.7,38.26104302,
利比亚,2003,15503,76.768,9395.765985,143,4.09220702,
利比里亚,2003,,45.361,424.2318628,372.22,72.2403877,
莱索托,2003,2194,21.137,889.2317555,43.937,6.346886124,
肯尼亚,2003,3126,20.948,811.4265584,81.738,25.80443937,
科特迪瓦,2003,692,44.399,1230.518754,165.391,28.78085502,
科摩罗,2003,101,27.947,1287.357701,0.794,29.37612727,
喀麦隆,2003,1124,47.338,1203.246219,336.268,15.90761058,
津巴布韦,2003,4564,34.479,1102.230755,3.8,14.79335521,
加蓬,2003,704,81.083,9849.63882,206.079,6.004020935,
加纳,2003,4100,45.951,1011.397621,110.02,36.5454059,
几内亚(比绍),2003,2677,37.387,523.7309478,3.489,42.34587922,
几内亚,2003,6651,31.698,636.7911717,82.8,20.7799679,
吉布提,2003,823,76.67,,14.225,,
刚果(金),2003,2257,36.526,282.6470668,391.255,26.05383881,
刚果(布),2003,1220,60.076,2450.235319,323.13,6.275223939,
冈比亚,2003,1304,50.555,827.8342329,10.704,26.74829049,
